release_date,achievements,median_playtime,price,total_reviews,average_playtime,english,categories,owners,season,Rating
2007-12-13,0,209,4.99,1947,209,1,Single-player;Multi-player;Shared/Split Screen;Partial Controller Support,200000-500000,Winter,Negative
2008-02-08,0,0,3.99,192,0,1,Single-player,50000-100000,Winter,Negative
2008-11-21,0,565,6.99,2373,313,1,Single-player,500000-1000000,Fall,Positive
2009-05-13,0,132,6.99,1570,132,1,Single-player;Multi-player;Partial Controller Support,200000-500000,Spring,Negative
2010-03-23,50,272,9.99,36867,519,1,Single-player;Steam Achievements;Full controller support;Steam Cloud,2000000-5000000,Spring,Very Positive
2008-06-17,0,0,0.0,149,0,1,Single-player,100000-200000,Summer,Negative
2008-06-17,0,0,0.0,77,0,1,Single-player,100000-200000,Summer,Negative
2008-06-17,0,0,1.99,146,0,1,Single-player,100000-200000,Summer,Negative
2008-12-18,0,0,22.99,243,0,1,Single-player,100000-200000,Winter,Very Positive
2007-06-18,0,109,2.99,645,109,1,Single-player;Full controller support,100000-200000,Summer,Very Positive
2010-12-15,0,230,0.0,11149,5123,1,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards,1000000-2000000,Winter,Positive
2007-10-15,0,218,2.49,2032,1636,1,Single-player;Multi-player,1000000-2000000,Fall,Positive
2012-12-12,0,0,4.99,190,0,1,Single-player;Multi-player,50000-100000,Winter,Very Positive
2007-07-24,0,108,5.99,1462,108,1,Single-player,1000000-2000000,Summer,Very Positive
2013-03-25,80,519,19.99,83288,614,1,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,2000000-5000000,Spring,Very Positive
2009-05-29,0,16,2.99,347,16,1,Single-player;Multi-player,200000-500000,Spring,Negative
2009-05-29,0,23,2.99,149,23,1,Single-player;Multi-player,200000-500000,Spring,Positive
2010-09-23,286,1797,19.99,134595,4760,1,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud,5000000-10000000,Fall,Very Positive
2010-10-06,12,0,3.49,49,0,1,Single-player;Steam Achievements,20000-50000,Fall,Positive
2007-08-03,0,0,2.49,236,0,1,Single-player;Steam Cloud,200000-500000,Summer,Positive
2007-08-03,0,48,3.99,3360,32,1,Single-player;Multi-player;Steam Cloud,200000-500000,Summer,Very Positive
2007-08-03,0,91,2.49,158,88,1,Single-player;Multi-player;Steam Cloud,200000-500000,Summer,Very Positive
2007-08-03,0,152,2.49,218,129,1,Single-player;Multi-player;Steam Cloud,200000-500000,Summer,Very Positive
2007-08-03,0,394,0.0,3009,362,1,Single-player;Multi-player;Steam Cloud,200000-500000,Summer,Very Positive
2007-08-03,0,10,2.99,212,10,1,Single-player;Multi-player;Co-op;Steam Cloud,200000-500000,Summer,Positive
2007-08-03,0,12,0.0,379,7,1,Single-player;Steam Cloud,500000-1000000,Summer,Positive
2007-08-03,0,145,2.99,788,145,1,Single-player;Steam Cloud,200000-500000,Summer,Very Positive
2011-10-03,60,392,7.99,12276,559,1,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support,1000000-2000000,Fall,Positive
2007-08-07,0,365,9.99,682,213,1,Single-player;Multi-player,500000-1000000,Summer,Very Positive
2007-09-24,0,106,9.99,631,79,1,Single-player;Multi-player;Steam Cloud,2000000-5000000,Fall,Very Positive
2011-09-28,0,306,8.99,1227,306,1,Single-player;Multi-player,1000000-2000000,Fall,Very Positive
2011-09-28,0,1067,8.99,5143,803,1,Single-player;Multi-player,1000000-2000000,Fall,Very Positive
2008-03-07,0,1629,9.99,5173,1433,1,Single-player;Multi-player;Steam Cloud,1000000-2000000,Spring,Very Positive
2008-02-29,0,154,9.99,607,154,1,Single-player;Co-op;Steam Cloud,200000-500000,Winter,Negative
2009-01-07,0,81,9.99,12323,322,1,Single-player;Steam Cloud,2000000-5000000,Winter,Positive
2007-07-20,11,23,5.99,254,23,1,Single-player;Multi-player,200000-500000,Summer,Negative
2008-03-12,0,0,6.99,96,0,1,Single-player,50000-100000,Spring,Negative
2008-03-12,0,0,1.99,195,0,1,Single-player;Multi-player,20000-50000,Spring,Positive
2008-03-12,0,84,3.99,573,64,1,Single-player;Steam Cloud,100000-200000,Spring,Positive
2009-05-06,0,0,13.99,138,0,1,Single-player;Multi-player;Co-op,20000-50000,Spring,Negative
